xor;185.56.80.65;210000
poiuty;116.202.155.223;210000
thorn;51.210.34.150;200000
sabrefang;178.63.40.189;183000
Unnamed;5.39.69.166;170000
Fun;5.2.69.42;170000
Unnamed;54.36.166.86;167000
imherefortheparty;116.202.55.100;162000
tor1sethsimmonsme;5.9.120.18;161000
Unnamed;93.174.95.16;159000
F3Netze;185.220.100.242;158000
brightleopard5;185.177.127.35;153000
thebathingbanshee;77.243.181.86;150000
WonderWoman42;194.109.193.142;150000
z0rb4l2;148.251.11.21;141000
ENiGMA;5.9.121.207;140000
F3Netze;185.220.100.254;140000
MIGHTYWANG;188.127.69.60;133000
Hungary;91.219.237.21;130000
Ubermensch;51.210.80.127;130000
