poiuty;116.202.155.223;220000
xor;185.56.80.65;214000
thorn;51.210.34.150;200000
sabrefang;178.63.40.189;189000
Ubermensch;51.210.80.127;172000
Unnamed;5.39.69.166;170000
imherefortheparty;116.202.55.100;163000
tor1sethsimmonsme;5.9.120.18;162000
Fun;5.2.69.42;161000
Unnamed;54.36.166.86;160000
F3Netze;185.220.100.242;160000
thebathingbanshee;77.243.181.86;154000
brightleopard5;185.177.127.35;153000
F3Netze;185.220.100.254;145000
Unnamed;93.174.95.16;140000
ENiGMA;5.9.121.207;140000
atomcats;51.68.204.139;140000
WonderWoman42;194.109.193.142;138000
Unnamed;51.91.73.194;130000
MIGHTYWANG;188.127.69.60;130000
