poiuty;116.202.155.223;220000
xor;185.56.80.65;214000
thorn;51.210.34.150;200000
sabrefang;178.63.40.189;187000
thebathingbanshee;77.243.181.86;171000
Unnamed;5.39.69.166;170000
imherefortheparty;116.202.55.100;162000
tor1sethsimmonsme;5.9.120.18;161000
Fun;5.2.69.42;161000
Unnamed;54.36.166.86;160000
F3Netze;185.220.100.242;160000
brightleopard5;185.177.127.35;153000
Unnamed;93.174.95.16;150000
F3Netze;185.220.100.254;145000
ENiGMA;5.9.121.207;140000
atomcats;51.68.204.139;140000
WonderWoman42;194.109.193.142;137000
Ubermensch;51.210.80.127;136000
Hungary;91.219.237.21;130000
Unnamed;51.91.73.194;130000
